2019-мая-28 16:50:46.595 INFO  [restartedMain] com.group3.basic.netcracker.backend.BackendApplication - Starting BackendApplication on DESKTOP-FE3LGGP with PID 2408 (C:\Users\TopProgger\IdeaProjects\Training-Portal-NetCracker-Project\backend\target\classes started by TopProgger in C:\Users\TopProgger\IdeaProjects\Training-Portal-NetCracker-Project)
2019-мая-28 16:50:46.690 INFO  [restartedMain] com.group3.basic.netcracker.backend.BackendApplication - No active profile set, falling back to default profiles: default
2019-мая-28 16:50:47.110 INFO  [restartedMain] org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2019-мая-28 16:50:47.111 INFO  [restartedMain] org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2019-мая-28 16:50:57.286 INFO  [restartedMain] org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2019-мая-28 16:51:00.615 INFO  [restartedMain] org.springframework.boot.autoconfigure.web.servlet.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2019-мая-28 16:51:00.690 INFO  [restartedMain] org.springframework.security.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@1ec6bfa, org.springframework.security.web.context.SecurityContextPersistenceFilter@617435, org.springframework.security.web.header.HeaderWriterFilter@a8d7a2, org.springframework.web.filter.CorsFilter@af67de, org.springframework.security.web.authentication.logout.LogoutFilter@22b6dd, com.group3.basic.netcracker.backend.util.authorization.security.jwt.JwtAuthTokenFilter@de9628, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@d80396, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@14d96ed, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@46a86e, org.springframework.security.web.session.SessionManagementFilter@4ec7fe, org.springframework.security.web.access.ExceptionTranslationFilter@1406926, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@a15ed3]
2019-мая-28 16:51:01.378 INFO  [restartedMain] org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-мая-28 16:51:02.270 INFO  [restartedMain] org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2019-мая-28 16:51:02.855 INFO  [restartedMain] org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2019-мая-28 16:51:02.871 INFO  [restartedMain] com.group3.basic.netcracker.backend.BackendApplication - Started BackendApplication in 21.017 seconds (JVM running for 39.497)
